VCD info: dumpfile dump.vcd opened for output.
clk=0 rst=0 Instruction=xxxxxxxx PC=xxxxxxxx r1=xxxxxxxx r2=xxxxxxxx r3=xxxxxxxx r4=xxxxxxxx r5=xxxxxxxx r6=xxxxxxxx f1=xxxxxxxx f2=xxxxxxxx f3=xxxxxxxx f4=xxxxxxxx f5=xxxxxxxx r29=xxxxxxxx f30=xxxxxxxx r31=xxxxxxxx
clk=0 rst=1 Instruction=00000015 PC=00000068 r1=00000000 r2=0000200e r3=00000000 r4=00000004 r5=00000040 r6=00000000 f1=00000004 f2=00000010 f3=00000000 f4=00000000 f5=00000040 r29=00000000 f30=00000000 r31=00000000
clk=1 rst=1 Instruction=44000300 PC=0000006c r1=00000000 r2=0000200e r3=00000000 r4=00000004 r5=00000040 r6=00000000 f1=00000004 f2=00000010 f3=00000000 f4=00000000 f5=00000040 r29=00000000 f30=00000000 r31=00000000
clk=0 rst=1 Instruction=44000300 PC=0000006c r1=00000000 r2=0000200e r3=00000000 r4=00000004 r5=00000040 r6=00000000 f1=00000004 f2=00000010 f3=00000000 f4=00000000 f5=00000040 r29=00000000 f30=00000000 r31=00000000
clk=1 rst=1 Instruction=00000000 PC=00000070 r1=00000000 r2=0000200e r3=00000000 r4=00000004 r5=00000040 r6=00000000 f1=00000004 f2=00000010 f3=00000000 f4=00000000 f5=00000040 r29=00000000 f30=00000000 r31=00000000
clk=0 rst=1 Instruction=00000000 PC=00000070 r1=00000000 r2=0000200e r3=00000000 r4=00000004 r5=00000040 r6=00000000 f1=00000004 f2=00000010 f3=00000000 f4=00000000 f5=00000040 r29=00000000 f30=00000000 r31=00000000
writing to mem at 00002000 val 00000040 size  3
clk=1 rst=1 Instruction=00000000 PC=00000074 r1=00000000 r2=0000200e r3=00000000 r4=00000004 r5=00000040 r6=00000000 f1=00000004 f2=00000010 f3=00000000 f4=00000000 f5=00000040 r29=00000000 f30=00000000 r31=00000000
clk=0 rst=1 Instruction=00000000 PC=00000074 r1=00000000 r2=0000200e r3=00000000 r4=00000004 r5=00000040 r6=00000000 f1=00000004 f2=00000010 f3=00000000 f4=00000000 f5=00000040 r29=00000000 f30=00000000 r31=00000000
clk=1 rst=1 Instruction=00000000 PC=00000078 r1=00000000 r2=0000200e r3=00000000 r4=00000004 r5=00000040 r6=00000000 f1=00000004 f2=00000010 f3=00000000 f4=00000000 f5=00000040 r29=00000000 f30=00000000 r31=00000000
clk=0 rst=1 Instruction=00000000 PC=00000078 r1=00000000 r2=0000200e r3=00000000 r4=00000004 r5=00000040 r6=00000000 f1=00000004 f2=00000010 f3=00000000 f4=00000000 f5=00000040 r29=00000000 f30=00000000 r31=00000000
Hitting a trap, end, waiting 1 clock cycle and finishing
Writing final data memory to datamem_end file
clk=1 rst=1 Instruction=00000000 PC=0000007c r1=00000000 r2=0000200e r3=00000000 r4=00000004 r5=00000040 r6=00000000 f1=00000004 f2=00000010 f3=00000000 f4=00000000 f5=00000040 r29=00000000 f30=00000000 r31=00000000
clk=0 rst=1 Instruction=00000000 PC=0000007c r1=00000000 r2=0000200e r3=00000000 r4=00000004 r5=00000040 r6=00000000 f1=00000004 f2=00000010 f3=00000000 f4=00000000 f5=00000040 r29=00000000 f30=00000000 r31=00000000
clk=1 rst=1 Instruction=00000000 PC=00000080 r1=00000000 r2=0000200e r3=00000000 r4=00000004 r5=00000040 r6=00000000 f1=00000004 f2=00000010 f3=00000000 f4=00000000 f5=00000040 r29=00000000 f30=00000000 r31=00000000
